Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Marker_loc_x,Marker_loc_y,Marker_loc_z,Tip_loc_x,Tip_loc_y,Tip_loc_z,
04:13:45.901,85858,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.915,85872,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.928,85887,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.942,85900,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.957,85915,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.970,85928,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.983,85941,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.997,85955,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.012,85969,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.026,85984,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.039,85997,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.054,86011,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.068,86026,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.081,86039,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.094,86052,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.110,86068,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.122,86080,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.137,86094,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.151,86108,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.164,86121,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.179,86137,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.192,86150,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.207,86165,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.219,86177,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.234,86192,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.248,86205,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.261,86219,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.276,86234,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.289,86247,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.303,86260,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.317,86275,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.331,86289,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.345,86303,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.359,86317,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.372,86330,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.387,86345,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.400,86358,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.415,86373,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.429,86387,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.442,86400,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.456,86414,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.469,86427,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.484,86442,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.497,86456,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.511,86469,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.525,86483,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.539,86497,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:46.553,86511,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
